,occurrence_id,classification,type of occurrence,localization,fu,country,aerodrome,occurrence_day,time,under_investigation,investigating_command,investigation_status,report_number,published_report,publication_day,recommendation_amount,aircrafts_involved,takeoff,extraction_day
20,38660,ACCIDENT,SYSTEM / COMPONENT FAILURE,ANGRA DOS REIS,RJ,BRAZIL,SDAG,2009-10-12,16:10:00,YES,SERIPA-3,FINISHED,,0.0,2016-07-07,3,1,1.0,2016-07-30
21,31395,ACCIDENT,ANOTHER TYPES,ANGRA DOS REIS,RJ,BRAZIL,****,2008-01-15,11:41:00,YES,SERIPA-3,REOPENED,,0.0,2010-04-28,9,1,,2016-07-30
22,52982,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,BOA VISTA,Roraima,BRAZIL,****,2015-01-29,20:30:00,YES,SERIPA-7,FINISHED,,1.0,2015-05-22,0,1,,2016-07-30
23,42723,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,BOA VISTA,Roraima,BRAZIL,SBBV,2010-09-01,13:30:00,YES,SERIPA-7,FINISHED,,1.0,2011-12-21,4,1,,2016-07-30
24,44538,ACCIDENT,ABOUT WINDOWS / DOORS / WINDSHIELD,BOA VISTA,Roraima,BRAZIL,****,2011-05-23,10:50:00,YES,SERIPA-1,FINISHED,,1.0,2013-08-27,3,1,,2016-07-30
25,53435,ACCIDENT,COLLISION AGAINST OBSTACLE DURING THE FLIGHT,BOA VISTA,Roraima,BRAZIL,****,2015-08-15,14:00:00,YES,SERIPA-7,IN PROGRESS,,,,0,1,,2016-07-30
26,34077,ACCIDENT,LOSS OF COMPONENT DURING THE FLIGHT,BOA VISTA,Roraima,BRAZIL,SBBV,2008-08-27,22:20:00,YES,SERIPA-7,FINISHED,,1.0,2012-06-06,2,1,,2016-07-30
27,27709,ACCIDENT,ABOUT LANDING GEAR,BOA VISTA,Roraima,BRAZIL,SBBV,2006-09-22,18:09:00,YES,SERIPA-7,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
28,26521,ACCIDENT,UNKNOWN,BOA VISTA,Roraima,BRAZIL,****,2006-03-21,10:38:00,YES,SERIPA-7,IN PROGRESS,,,,0,1,,2016-07-30
29,53260,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,AFONSO CLÁUDIO,Espirito Santo,BRAZIL,****,2015-05-08,11:27:00,UNKNOWN,SERIPA-3,,,,,0,1,,2016-07-30
30,43458,SERIOUS INCIDENT,ENGINE FAILURE DURING THE FLIGHT,ÁGUA BRANCA,Alagoas,BRAZIL,****,2010-12-11,11:00:00,YES,SERIPA-2,IN PROGRESS,,,,0,1,,2016-07-30
31,48058,SERIOUS INCIDENT,COLLISION AGAINST OBSTACLE ON THE GROUND,BRASÍLIA,Distrito Federal,BRAZIL,SBBR,2013-04-30,21:00:00,YES,CENIPA,IN PROGRESS,,,,0,1,,2016-07-30
